#Basin ID             Tunnel system        Center (a, b, c)     E_min [kJ]           Volume [Å^3]         V_Boltz T = 1000.00   
1                    /                    (   0,    0,   28)    0.0000               1.8539               42.815644             
2                    /                    (   0,    0,   60)    0.0000               1.8539               42.815644             
3                    /                    (  22,   22,   34)    1.7561               1.9091               42.519667             
4                    /                    (  22,   22,    2)    1.7561               1.9091               42.519667             
5                    1                    (   0,   22,   47)    8.2529               2.5402               22.589029             
6                    1                    (   0,   22,   16)    9.0971               2.8952               27.238632             
7                    1                    (  11,   11,   32)    5.8672               2.5007               27.481863             
8                    1                    (  10,   11,   42)    7.8156               1.3016               15.353103             
9                    1                    (  11,   33,   32)    5.8672               2.5007               27.481863             
10                   1                    (  10,   33,   42)    7.8156               1.3016               15.353103             
11                   1                    (  11,   11,    0)    5.8672               2.5007               27.481863             
12                   1                    (  11,   10,   10)    7.8156               1.3016               15.353103             
13                   1                    (  11,   12,   20)    7.6375               2.5323               25.184344             
14                   1                    (  11,   32,   20)    7.6375               2.6348               26.042651             
15                   1                    (  11,   33,    0)    5.8672               2.5007               27.481863             
16                   1                    (  11,   34,   10)    7.8156               1.1991               14.636470             
17                   1                    (  12,   11,   52)    7.6375               2.5323               25.184344             
18                   1                    (  12,   33,   52)    7.6375               2.5323               25.184344             
19                   1                    (  22,    0,   15)    8.2529               2.5402               22.589029             
20                   1                    (  22,    0,   48)    9.0971               2.8952               27.238632             
21                   1                    (  32,   11,   52)    7.6375               2.6348               26.042651             
22                   1                    (  32,   33,   52)    7.6375               2.6348               26.042651             
23                   1                    (  33,   11,    0)    5.8672               2.5007               27.481863             
24                   1                    (  33,   11,   32)    5.8672               2.5007               27.481863             
25                   1                    (  33,   33,    0)    5.8672               2.5007               27.481863             
26                   1                    (  33,   33,   32)    5.8672               2.5007               27.481863             
27                   1                    (  33,   10,   10)    7.8156               1.3016               15.353103             
28                   1                    (  34,   11,   42)    7.8156               1.1991               14.636470             
29                   1                    (  33,   12,   20)    7.6375               2.5323               25.184344             
30                   1                    (  33,   32,   20)    7.6375               2.6348               26.042651             
31                   1                    (  33,   34,   10)    7.8156               1.1991               14.636470             
32                   1                    (  34,   33,   42)    7.8156               1.1991               14.636470             
